omschrijving,art_nr
17.24 bloemenafrekenpunt verrijdbaar 500x400x906mm ( lxbxh ) J/F,262171
17.24B bloemenafrekenpunt verrijdbaar (Belgie) 500x400x906mm,357962
17.26 Bloemenkar 3 niveaus met signing beugel F,403594
17.27 Plantenkar 1500mm,396827
17.29 Impulsmeubel bloemen bij SCO J/F,444606
18.01A_SCO Impulsstelling bij SCO's,508518
"18.01B_G Wandstelling 1200mm, voet 460mm, Grijs J/F/B Beginmeter",341052
"18.01B_G Wandstelling 1200mm, voet 460mm, Grijs J/F/B Tussenmeter",341053
"18.01B_G Wandstelling 1200mm, voet 460mm, Grijs J/F/B Eindmeter",341054
"18.01D_G Wandstelling 1200mm, voet 660mm, Grijs J/F/B Beginmeter",309571
"18.01D_G Wandstelling 1200mm, voet 660mm, Grijs J/F/B Tussenmeter",309577
"18.01D_G Wandstelling 1200mm, voet 660mm, Grijs J/F/B Eindmeter",309580
18.02B_G Wandstelling 1500mm voet 460mm grijs J/F/B Beginmeter,311766
18.02B_G Wandstelling 1500mm voet 460mm grijs J/F/B Tussenmeter,330612
18.02B_G Wandstelling 1500mm voet 460mm grijs J/F/B Eindmeter,311769
"18.02B_G Wandstelling 1500mm, voet 460mm, 4 schappen 460mm J/F/B",270956
18.02B_Z Wandstelling 1500mm voet 460mm zwart J/F/B Beginmeter,321222
18.02B_Z Wandstelling 1500mm voet 460mm zwart J/F/B Tussenmeter,333505
18.02B_Z Wandstelling 1500mm voet 460mm zwart J/F/B Eindmeter,321228
"18.02B_Z Wandstelling 1500mm, voet 460mm, 4 schappen 460mm J/F/B",281530
"18.02C_G Wandstelling 1500mm, voet 560mm, Grijs J/F/B Beginmeter",279738
"18.02C_G Wandstelling 1500mm, voet 560mm, Grijs J/F/B Tussenmeter",279739
"18.02C_G Wandstelling 1500mm, voet 560mm, Grijs J/F/B Eindmeter",279740
"18.02C_Z Wandstelling 1500mm, voet 560mm, Zwart J/F/B Beginmeter",316044
"18.02C_Z Wandstelling 1500mm, voet 560mm, Zwart J/F/B Tussenmeter",316045
"18.02C_Z Wandstelling 1500mm, voet 560mm, Zwart J/F/B Eindmeter",316047
"18.02D_G Wandstelling 1500mm, voet 660mm, Grijs J/F/B Beginmeter",270956
"18.02D_G Wandstelling 1500mm, voet 660mm, Grijs J/F/B Tussenmeter",281530
"18.02D_G Wandstelling 1500mm, voet 660mm, Grijs J/F/B Eindmeter",270957
"18.02D_Z Wandstelling 1500mm, voet 660mm, Zwart J/F/B Beginmeter",292711
"18.02D_Z Wandstelling 1500mm, voet 660mm, Zwart J/F/B Tussenmeter",292714
"18.02D_Z Wandstelling 1500mm, voet 660mm, Zwart J/F/B Eindmeter",292715
"18.03B_G wandstelling 1900mm, voet 460 mm, grijs J/F/B Beginmeter",315434
"18.03B_G wandstelling 1900mm, voet 460 mm, grijs J/F/B Tussenmeter",351435
"18.03B_G wandstelling 1900mm, voet 460 mm, grijs J/F/B Eindmeter",315436
"18.03B_Z wandstelling 1900mm, voet 460 mm, zwart J/F/B Beginmeter",444233
"18.03B_Z wandstelling 1900mm, voet 460 mm, zwart J/F/B Tussenmeter",444234
"18.03B_Z wandstelling 1900mm, voet 460 mm, zwart J/F/B Eindmeter",444235
"18.03C_G Wandstelling 1900mm, voet 560mm, Grijs J/F/B Beginmeter",245041
"18.03C_G Wandstelling 1900mm, voet 560mm, Grijs J/F/B Tussenmeter",245042
"18.03C_G Wandstelling 1900mm, voet 560mm, Grijs J/F/B Eindmeter",245044
"18.03C_Z Wandstelling 1900mm, voet 560mm, Zwart J/F/B Beginmeter",273101
"18.03C_Z Wandstelling 1900mm, voet 560mm, Zwart J/F/B Tussenmeter",273104
"18.03C_Z Wandstelling 1900mm, voet 560mm, Zwart J/F/B Eindmeter",273105
"18.03D_G Wandstelling 1900mm, voet 660mm, Grijs J/F/B Beginmeter",243476
"18.03D_G Wandstelling 1900mm, voet 660mm, Grijs J/F/B Tussenmeter",243478
"18.03D_G Wandstelling 1900mm, voet 660mm, Grijs J/F/B Eindmeter",243483
"18.03D_Z Wandstelling 1900mm, voet 660mm, Zwart J/F/B Beginmeter",250706
"18.03D_Z Wandstelling 1900mm, voet 660mm, Zwart J/F/B Tussenmeter",250709
"18.03D_Z Wandstelling 1900mm, voet 660mm, Zwart J/F/B Eindmeter",250710
"18.05B_G Wandstelling 2200mm, voet 460mm, Grijs J/F/B Beginmeter",356845
"18.05B_G Wandstelling 2200mm, voet 460mm, Grijs J/F/B Tussenmeter",356846
"18.05B_G Wandstelling 2200mm, voet 460mm, Grijs J/F/B Eindmeter",356847
"18.05B_Z Wandstelling 2200mm, voet 460mm, Zwart J/F/B Beginmeter",364684
"18.05B_Z Wandstelling 2200mm, voet 460mm, Zwart J/F/B Tussenmeter",450504
"18.05B_Z Wandstelling 2200mm, voet 460mm, Zwart J/F/B Eindmeter",450505
"18.05C_G wandstelling 2200mm, voet 560mm,  schappen 560mm, tbv wandkoof 2200-3000mm grijs J/F/B Beginmeter",319819
"18.05C_G wandstelling 2200mm, voet 560mm,  schappen 560mm, tbv wandkoof 2200-3000mm grijs J/F/B Tussenmeter",319824
"18.05C_G wandstelling 2200mm, voet 560mm,  schappen 560mm, tbv wandkoof 2200-3000mm grijs J/F/B Eindmeter",319825
"18.05C_Z wandstelling 2200mm, voet 560mm,  schappen 560mm, tbv wandkoof 2200-3000mm, zwart J/F/B Beginmeter",322938
"18.05C_Z wandstelling 2200mm, voet 560mm,  schappen 560mm, tbv wandkoof 2200-3000mm, zwart J/F/B Tussenmeter",322943
"18.05C_Z wandstelling 2200mm, voet 560mm,  schappen 560mm, tbv wandkoof 2200-3000mm, zwart J/F/B Eindmeter",322946
"18.05D_G wandstelling 2200mm, voet 660mm, schappen 560mm, tbv wandkoof 2200-3000mm, grijs J/F/B Beginmeter",307232
"18.05D_G wandstelling 2200mm, voet 660mm, schappen 560mm, tbv wandkoof 2200-3000mm, grijs J/F/B Tussenmeter",266352
"18.05D_G wandstelling 2200mm, voet 660mm, schappen 560mm, tbv wandkoof 2200-3000mm, grijs J/F/B Eindmeter",307234
"18.05D_Z wandstelling 2200mm, voet 660mm, schappen 560mm, tbv wandkoof 2200-3000mm, zwart J/F/B Beginmeter",330269
"18.05D_Z wandstelling 2200mm, voet 660mm, schappen 560mm, tbv wandkoof 2200-3000mm, zwart J/F/B Tussenmeter",330272
"18.05D_Z wandstelling 2200mm, voet 660mm, schappen 560mm, tbv wandkoof 2200-3000mm, zwart J/F/B Eindmeter",330268
"18.07B_G Wandstelling 2400mm, voet 460mm, Grijs J/F/B Beginmeter",450506
"18.07B_G Wandstelling 2400mm, voet 460mm, Grijs J/F/B Tussenmeter",450507
"18.07B_G Wandstelling 2400mm, voet 460mm, Grijs J/F/B Eindmeter",450508
"18.07C_G Wandstelling 2400mm, voet 560mm, Grijs J/F/B Beginmeter",384362
"18.07C_G Wandstelling 2400mm, voet 560mm, Grijs J/F/B Tussenmeter",384341
"18.07C_G Wandstelling 2400mm, voet 560mm, Grijs J/F/B Eindmeter",384365
18.07C_Z Wandstelling 2400 mm hoogt voet 560 mm,423230
